ID#,Country,SERIES          SH,SHOT,YEAR,MON,DAY,SITE,LAT,LONG,HOB,YD-MN,YIELD,DATE,MON_NUM,HOB_ft
84,USA,Redwing,Apache,1956,JUL,8,EN,11.6714,162.2003,0,1850,1850,7/8/1956,7,0
57,USSR,1958,,1958,FEB,27,NZ,73,55,0,1500,1500,2/27/1958,2,0
76,USSR,1958,,1958,OCT,12,NZ-MB,74.93,53.32,0,1450,1450,10/12/1958,10,0
126,USSR,1961,Raduga,1961,OCT,20,NZ-MB,73.8,53.2,0,1450,1450,10/20/1961,10,0
82,USA,Redwing,Dakota,1956,JUN,25,BK,11.6028,165.4514,0,1100,1100,6/25/1956,6,0
104,USSR,1961,,1961,SEP,16,NZ-MB,74,51.9,0,830,830,9/16/1961,9,0
81,USSR,1958,,1958,OCT,20,NZ,73,55,0,440,440,10/20/1958,10,0
87,USA,Redwing,Huron,1956,JUL,21,EN,11.6719,162.3692,0,250,250,7/21/1956,7,0
75,USSR,1958,,1958,OCT,10,NZ,73,55,0,68,68,10/10/1958,10,0
9,FRANCE,,Rubis,1963,OCT,20,AL-IE,24.0355,5.0386,0,40,52,10/20/1963,10,0
237,USSR,1964,,1964,NOV,16,STS-D,49.81389,78.13361,0,20,47,11/16/1964,11,0
61,USSR,1958,,1958,MAR,14,NZ,73,55,0,40,40,3/14/1958,3,0
71,USSR,1958,,1958,OCT,2,NZ,73,55,0,40,40,10/2/1958,10,0
79,USSR,1958,,1958,OCT,19,NZ,73,55,0,40,40,10/19/1958,10,0
6,FRANCE,,Beryl,1962,MAY,1,AL-IE,24.063,5.0418,0,10,40,5/1/1962,5,0
229,USSR,1964,,1964,MAR,15,STS-D,49.82083,78.09861,0,20,37,3/15/1964,3,0
249,USSR,1965,,1965,OCT,8,STS-D,49.83056,78.10139,0,0.001,29,10/8/1965,10,0
251,USSR,1965,,1965,NOV,21,STS-D,49.82833,78.05972,0,29,29,11/21/1965,11,0
240,USSR,1965,,1965,MAR,3,STS-D,49.82972,78.0575,0,0.001,27,3/3/1965,3,0
232,USSR,1964,,1964,JUL,19,STS-D,49.815,78.09306,0,20,26,7/19/1964,7,0
246,USSR,1965,,1965,JUN,17,STS-D,49.83056,78.05778,0,0.001,24,6/17/1965,6,0
148,USSR,1962,Argon-1,1962,FEB,2,STS-D,49.785,77.99694,0,0.001,15,2/2/1962,2,0
248,USSR,1965,,1965,SEP,17,STS-D,49.81722,78.1425,0,0.001,15,9/17/1965,9,0
244,USSR,1965,,1965,MAY,11,STS-D,49.77306,77.99139,0,0.001,14,5/11/1965,5,0
2,FRANCE,Gerboise,Gerboise Blanche,1960,APR,1,AL-R,26.1661,-0.1025,0,0,10,4/1/1960,4,0
5,FRANCE,,Agate,1961,NOV,7,AL-IE,24.0571,5.0521,0,0,10,11/7/1961,11,0
174,USSR,1962,,1962,SEP,18,STS,50,78,0,,10,9/18/1962,9,0
7,FRANCE,,Emeraude,1963,MAR,18,AL-IE,24.0413,5.0521,0,10,10,3/18/1963,3,0
12,FRANCE,,Turquoise,1964,NOV,28,AL-IE,24.0418,5.0416,0,0,10,11/28/1964,11,0
16,FRANCE,,Tourmaline,1965,DEC,1,AL-IE,24.0437,5.0469,0,10,10,12/1/1965,12,0
153,USSR,1962,,1962,AUG,7,STS,50,78,0,9.9,9.9,8/7/1962,8,0
179,USSR,1962,,1962,SEP,25,STS,50,78,0,7,7,9/25/1962,9,0
252,USSR,1965,,1965,DEC,24,STS-D,49.81167,78.1075,0,0.001,6.7,12/24/1965,12,0
8,FRANCE,,Amethyste,1963,MAR,30,AL-IE,24.0433,5.057,0,0,2.5,3/30/1963,3,0
11,FRANCE,,Topaze,1964,JUN,15,AL-IE,24.0666,5.0345,0,0,2.5,6/15/1964,6,0
14,FRANCE,,Jade,1965,MAY,30,AL-IE,24.055,5.0508,0,0,2.5,5/30/1965,5,0
15,FRANCE,,Corindon,1965,OCT,1,AL-IE,24.0649,5.034,0,0,2.5,10/1/1965,10,0
231,USSR,1964,,1964,JUN,6,STS-D,49.77472,77.98806,0,0.001,1.6,6/6/1964,6,0
197,USSR,1962,,1962,OCT,30,STS,50,78,0,1.2,1.2,10/30/1962,10,0
247,USSR,1965,,1965,JUL,29,STS-D,49.785,77.99694,0,0.001,1.1,7/29/1965,7,0
122,USSR,1961,,1961,OCT,11,STS-D,49.77389,77.98861,0,1,1,10/11/1961,10,0
108,USSR,1961,,1961,SEP,18,STS,50,78,0,0.75,0.75,9/18/1961,9,0
119,USA,Project 58,Coulomb-C,1957,DEC,9,NTS-YF,37.04,-116.03,0,0.5,0.5,12/9/1957,12,0
130,USSR,1961,,1961,OCT,25,STS,50,78,0,0.5,0.5,10/25/1961,10,0
94,USSR,1961,,1961,SEP,9,STS,50,78,0,0.38,0.38,9/9/1961,9,0
28,USSR,1956,,1956,FEB,2,MTR,46,62,0,0.3,0.3,2/2/1956,2,0
110,USA,Plumbbob,Coulomb-B,1957,SEP,6,NTS-YF,37.043,-116.026,0,0.3,0.3,9/6/1957,9,0
98,USSR,1961,,1961,SEP,11,STS,50,78,0,0.3,0.3,9/11/1961,9,0
177,USSR,1962,,1962,SEP,22,STS,50,78,0,0.21,0.21,9/22/1962,9,0
147,USSR,1961,,1961,NOV,4,STS,50,78,0,0.2,0.2,11/4/1961,11,0
233,USSR,1964,,1964,AUG,18,STS-D,49.82056,78.08194,0,0.001,0.07,8/18/1964,8,0
241,USSR,1965,,1965,MAR,27,STS-D,49.77472,77.98806,0,0.001,0.06,3/27/1965,3,0
213,USSR,1962,,1962,NOV,26,STS,50,78,0,0.031,0.031,11/26/1962,11,0
109,USSR,1961,,1961,SEP,19,STS,50,78,0,0.03,0.03,9/19/1961,9,0
224,USSR,1962,,1962,DEC,24,STS,50,78,0,0.028,0.028,12/24/1962,12,0
177,USA,Hardtack II,Vesta,1958,OCT,17,NTS-YF,37.1225,-116.0347,0,0.024,0.024,10/17/1958,10,0
70,USA,Project 56,Project 56 No. 4,1956,JAN,18,NTS-FF,36.9,-115.95,0,0,0.01,1/18/1956,1,0
223,USSR,1962,,1962,DEC,24,STS,50,78,0,0.007,0.007,12/24/1962,12,0
185,USA,Hardtack II,Juno,1958,OCT,24,NTS-YF,37.1233,-116.0378,0,0.0017,0.0017,10/24/1958,10,0
142,USSR,1961,,1961,NOV,3,STS,50,78,0,0,0.001,11/3/1961,11,0
209,USSR,1962,,1962,NOV,13,STS,50,78,0,0,0.001,11/13/1962,11,0
212,USSR,1962,,1962,NOV,24,STS,50,78,0,0,0.001,11/24/1962,11,0
222,USSR,1962,,1962,DEC,23,STS,50,78,0,0,0.001,12/23/1962,12,0
235,USSR,1964,,1964,SEP,30,STS-D,49.82083,78.09861,0,0.001,0.001,9/30/1964,9,0
7,UK,Buffalo,Buffalo R2/Marcoo,1956,OCT,4,SAU-MR,-29.8818,131.6247,0.2,1.5,1.5,10/4/1956,10,0.06097561
29,USSR,1956,,1956,MAR,16,STS,50,78,0.4,14,14,3/16/1956,3,0.12195122
